Date,Time,PM2.5,Status
2021-01-11,20:00:00,1.462,V ugm-3 (Ref.eq)
2021-01-11,21:00:00,2.075,V ugm-3 (Ref.eq)
2021-01-11,22:00:00,2.241,V ugm-3 (Ref.eq)
2021-01-11,23:00:00,1.651,V ugm-3 (Ref.eq)
2021-01-11,24:00:00,1.745,V ugm-3 (Ref.eq)
2021-01-12,01:00:00,1.108,V ugm-3 (Ref.eq)
2021-01-12,02:00:00,0.991,V ugm-3 (Ref.eq)
2021-01-12,03:00:00,0.849,V ugm-3 (Ref.eq)
2021-01-12,04:00:00,0.849,V ugm-3 (Ref.eq)
2021-01-12,05:00:00,0.542,V ugm-3 (Ref.eq)
2021-01-12,06:00:00,0.92,V ugm-3 (Ref.eq)
2021-01-12,07:00:00,1.604,V ugm-3 (Ref.eq)
2021-01-12,08:00:00,2.476,V ugm-3 (Ref.eq)
2021-01-12,09:00:00,5.047,V ugm-3 (Ref.eq)
2021-01-12,10:00:00,5.896,V ugm-3 (Ref.eq)
2021-01-12,11:00:00,6.958,V ugm-3 (Ref.eq)
2021-01-12,12:00:00,5.708,V ugm-3 (Ref.eq)
2021-01-12,13:00:00,4.906,V ugm-3 (Ref.eq)
2021-01-12,14:00:00,4.245,V ugm-3 (Ref.eq)
2021-01-12,15:00:00,4.599,V ugm-3 (Ref.eq)
2021-01-12,16:00:00,5.448,V ugm-3 (Ref.eq)
2021-01-12,17:00:00,6.627,V ugm-3 (Ref.eq)
2021-01-12,18:00:00,12.146,V ugm-3 (Ref.eq)
2021-01-12,19:00:00,11.368,V ugm-3 (Ref.eq)
2021-01-12,20:00:00,11.109,V ugm-3 (Ref.eq)
2021-01-12,21:00:00,15.873,V ugm-3 (Ref.eq)
2021-01-12,22:00:00,17.264,V ugm-3 (Ref.eq)
2021-01-12,23:00:00,17.736,V ugm-3 (Ref.eq)
2021-01-12,24:00:00,17.948,V ugm-3 (Ref.eq)
2021-01-13,01:00:00,15.943,V ugm-3 (Ref.eq)
2021-01-13,02:00:00,14.269,V ugm-3 (Ref.eq)
2021-01-13,03:00:00,13.703,V ugm-3 (Ref.eq)
2021-01-13,04:00:00,15.755,V ugm-3 (Ref.eq)
2021-01-13,05:00:00,17.83,V ugm-3 (Ref.eq)
2021-01-13,06:00:00,17.948,V ugm-3 (Ref.eq)
2021-01-13,07:00:00,17.594,V ugm-3 (Ref.eq)
2021-01-13,08:00:00,16.934,V ugm-3 (Ref.eq)
2021-01-13,09:00:00,19.198,V ugm-3 (Ref.eq)
2021-01-13,10:00:00,19.693,V ugm-3 (Ref.eq)
2021-01-13,11:00:00,23.184,V ugm-3 (Ref.eq)
2021-01-13,12:00:00,20.59,V ugm-3 (Ref.eq)
2021-01-13,13:00:00,21.745,V ugm-3 (Ref.eq)
2021-01-13,14:00:00,16.085,V ugm-3 (Ref.eq)
2021-01-13,15:00:00,7.052,V ugm-3 (Ref.eq)
2021-01-13,16:00:00,5.613,V ugm-3 (Ref.eq)
2021-01-13,17:00:00,4.906,V ugm-3 (Ref.eq)
2021-01-13,18:00:00,4.222,V ugm-3 (Ref.eq)
2021-01-13,19:00:00,4.151,V ugm-3 (Ref.eq)
2021-01-13,20:00:00,2.854,V ugm-3 (Ref.eq)
2021-01-13,21:00:00,2.712,V ugm-3 (Ref.eq)
2021-01-13,22:00:00,6.769,V ugm-3 (Ref.eq)
2021-01-13,23:00:00,17.476,V ugm-3 (Ref.eq)
2021-01-13,24:00:00,15.236,V ugm-3 (Ref.eq)
