Date,Time,PM2.5,Status
2016-01-13,03:00:00,3.5,V ugm-3 (TEOM FDMS)
2016-01-13,04:00:00,3.4,V ugm-3 (TEOM FDMS)
2016-01-13,05:00:00,3.6,V ugm-3 (TEOM FDMS)
2016-01-13,06:00:00,4.1,V ugm-3 (TEOM FDMS)
2016-01-13,07:00:00,8.3,V ugm-3 (TEOM FDMS)
2016-01-13,08:00:00,7.9,V ugm-3 (TEOM FDMS)
2016-01-13,09:00:00,5.4,V ugm-3 (TEOM FDMS)
2016-01-13,10:00:00,7.6,V ugm-3 (TEOM FDMS)
2016-01-13,11:00:00,8.4,V ugm-3 (TEOM FDMS)
2016-01-13,12:00:00,9.1,V ugm-3 (TEOM FDMS)
2016-01-13,13:00:00,5.3,V ugm-3 (TEOM FDMS)
2016-01-13,14:00:00,8.9,V ugm-3 (TEOM FDMS)
2016-01-13,15:00:00,9.0,V ugm-3 (TEOM FDMS)
2016-01-13,16:00:00,0.0,V ugm-3 (TEOM FDMS)
2016-01-13,17:00:00,10.8,V ugm-3 (TEOM FDMS)
2016-01-13,18:00:00,11.4,V ugm-3 (TEOM FDMS)
2016-01-13,19:00:00,9.5,V ugm-3 (TEOM FDMS)
2016-01-13,20:00:00,8.0,V ugm-3 (TEOM FDMS)
2016-01-13,21:00:00,5.7,V ugm-3 (TEOM FDMS)
2016-01-13,22:00:00,4.5,V ugm-3 (TEOM FDMS)
2016-01-13,23:00:00,2.1,V ugm-3 (TEOM FDMS)
2016-01-13,24:00:00,0.6,V ugm-3 (TEOM FDMS)
2016-01-14,01:00:00,2.0,V ugm-3 (TEOM FDMS)
2016-01-14,02:00:00,0.8,V ugm-3 (TEOM FDMS)
2016-01-14,03:00:00,3.2,V ugm-3 (TEOM FDMS)
2016-01-14,04:00:00,0.7,V ugm-3 (TEOM FDMS)
2016-01-14,05:00:00,1.5,V ugm-3 (TEOM FDMS)
2016-01-14,06:00:00,1.5,V ugm-3 (TEOM FDMS)
2016-01-14,07:00:00,5.3,V ugm-3 (TEOM FDMS)
2016-01-14,08:00:00,3.1,V ugm-3 (TEOM FDMS)
2016-01-14,09:00:00,4.7,V ugm-3 (TEOM FDMS)
2016-01-14,10:00:00,3.8,V ugm-3 (TEOM FDMS)
2016-01-14,11:00:00,5.2,V ugm-3 (TEOM FDMS)
2016-01-14,12:00:00,3.4,V ugm-3 (TEOM FDMS)
2016-01-14,13:00:00,4.5,V ugm-3 (TEOM FDMS)
2016-01-14,14:00:00,3.8,V ugm-3 (TEOM FDMS)
2016-01-14,15:00:00,3.4,V ugm-3 (TEOM FDMS)
2016-01-14,16:00:00,4.5,V ugm-3 (TEOM FDMS)
2016-01-14,17:00:00,5.1,V ugm-3 (TEOM FDMS)
2016-01-14,18:00:00,5.2,V ugm-3 (TEOM FDMS)
2016-01-14,19:00:00,4.7,V ugm-3 (TEOM FDMS)
2016-01-14,20:00:00,5.8,V ugm-3 (TEOM FDMS)
2016-01-14,21:00:00,5.6,V ugm-3 (TEOM FDMS)
2016-01-14,22:00:00,3.2,V ugm-3 (TEOM FDMS)
2016-01-14,23:00:00,3.7,V ugm-3 (TEOM FDMS)
2016-01-14,24:00:00,1.9,V ugm-3 (TEOM FDMS)
2016-01-15,01:00:00,3.5,V ugm-3 (TEOM FDMS)
2016-01-15,02:00:00,2.7,V ugm-3 (TEOM FDMS)
2016-01-15,03:00:00,3.8,V ugm-3 (TEOM FDMS)
2016-01-15,04:00:00,1.6,V ugm-3 (TEOM FDMS)
2016-01-15,05:00:00,1.9,V ugm-3 (TEOM FDMS)
2016-01-15,06:00:00,2.9,V ugm-3 (TEOM FDMS)
2016-01-15,07:00:00,4.5,V ugm-3 (TEOM FDMS)
2016-01-15,08:00:00,4.9,V ugm-3 (TEOM FDMS)
2016-01-15,09:00:00,3.2,V ugm-3 (TEOM FDMS)
2016-01-15,10:00:00,3.9,V ugm-3 (TEOM FDMS)
2016-01-15,11:00:00,5.5,V ugm-3 (TEOM FDMS)
2016-01-15,12:00:00,7.7,V ugm-3 (TEOM FDMS)
2016-01-15,13:00:00,3.7,V ugm-3 (TEOM FDMS)
2016-01-15,14:00:00,3.5,V ugm-3 (TEOM FDMS)
2016-01-15,15:00:00,6.0,V ugm-3 (TEOM FDMS)
2016-01-15,16:00:00,6.1,V ugm-3 (TEOM FDMS)
2016-01-15,17:00:00,10.8,V ugm-3 (TEOM FDMS)
2016-01-15,18:00:00,10.1,V ugm-3 (TEOM FDMS)
2016-01-15,19:00:00,9.7,V ugm-3 (TEOM FDMS)
2016-01-15,20:00:00,11.2,V ugm-3 (TEOM FDMS)
2016-01-15,21:00:00,13.9,V ugm-3 (TEOM FDMS)
2016-01-15,22:00:00,13.8,V ugm-3 (TEOM FDMS)
2016-01-15,23:00:00,11.4,V ugm-3 (TEOM FDMS)
2016-01-15,24:00:00,10.2,V ugm-3 (TEOM FDMS)
2016-01-16,01:00:00,9.8,V ugm-3 (TEOM FDMS)
2016-01-16,02:00:00,10.1,V ugm-3 (TEOM FDMS)
2016-01-16,03:00:00,11.0,V ugm-3 (TEOM FDMS)
2016-01-16,04:00:00,11.1,V ugm-3 (TEOM FDMS)
2016-01-16,05:00:00,8.2,V ugm-3 (TEOM FDMS)
2016-01-16,06:00:00,11.7,V ugm-3 (TEOM FDMS)
2016-01-16,07:00:00,12.8,V ugm-3 (TEOM FDMS)
2016-01-16,08:00:00,15.2,V ugm-3 (TEOM FDMS)
2016-01-16,09:00:00,17.9,V ugm-3 (TEOM FDMS)
2016-01-16,10:00:00,19.1,V ugm-3 (TEOM FDMS)
2016-01-16,11:00:00,18.6,V ugm-3 (TEOM FDMS)
2016-01-16,12:00:00,15.6,V ugm-3 (TEOM FDMS)
2016-01-16,13:00:00,13.6,V ugm-3 (TEOM FDMS)
2016-01-16,14:00:00,15.4,V ugm-3 (TEOM FDMS)
2016-01-16,15:00:00,15.0,V ugm-3 (TEOM FDMS)
2016-01-16,16:00:00,17.2,V ugm-3 (TEOM FDMS)
2016-01-16,17:00:00,21.5,V ugm-3 (TEOM FDMS)
2016-01-16,18:00:00,17.7,V ugm-3 (TEOM FDMS)
