horizon,n,MAE,RMSE,sMAPE,R2,Bias,model,station_id,station_name,site_type,seed,epochs,train_start
1,11065,5.7437867148137265,8.56810973258756,52.45292753258271,-0.10091926637902393,-0.049344780692351764,seasonal_naive,MY1,London Marylebone Road,Urban Traffic,1,30,station_available_history
6,11065,5.747446904601345,8.574967040425506,52.47661103384737,-0.10231751325583116,-0.03185720726261837,seasonal_naive,MY1,London Marylebone Road,Urban Traffic,1,30,station_available_history
12,11065,5.750248531352363,8.579176499788007,52.53387873594985,-0.10466696859443103,0.003840940048723698,seasonal_naive,MY1,London Marylebone Road,Urban Traffic,1,30,station_available_history
24,11065,5.7602801626221325,8.583260177276376,52.68552813127854,-0.10845624248704255,0.05255309549382085,seasonal_naive,MY1,London Marylebone Road,Urban Traffic,1,30,station_available_history
48,11065,6.4935231211144515,9.646922536743785,57.1072552744158,-0.3999442132121813,0.08685042942965457,seasonal_naive,MY1,London Marylebone Road,Urban Traffic,1,30,station_available_history
1,11065,2.7867206863052316,3.981193899140236,29.066672170529333,0.7623093534469481,-0.06028179025897816,xgboost,MY1,London Marylebone Road,Urban Traffic,1,30,station_available_history
6,11065,4.220613294608228,5.9625772858522215,39.927002624196106,0.46702132697654386,0.2822218786334216,xgboost,MY1,London Marylebone Road,Urban Traffic,1,30,station_available_history
12,11065,4.790104058526298,6.827973020752359,43.68225096942212,0.30028085699097606,0.5206815360602997,xgboost,MY1,London Marylebone Road,Urban Traffic,1,30,station_available_history
24,11065,5.151882262998612,7.3922267477811765,45.73586931769065,0.17782444710130296,0.514256445883735,xgboost,MY1,London Marylebone Road,Urban Traffic,1,30,station_available_history
48,11065,5.565566166781538,8.193153225269528,48.2774520211034,-0.009799848365300345,0.44362168891420206,xgboost,MY1,London Marylebone Road,Urban Traffic,1,30,station_available_history
1,11065,2.9292439359887066,4.232707417721584,31.1516420519084,0.7313282953616518,-0.024312978002532702,dlinear,MY1,London Marylebone Road,Urban Traffic,1,30,station_available_history
6,11065,4.249660700171768,5.9744728396660225,40.4066757308653,0.46489258280388823,0.09534144375424443,dlinear,MY1,London Marylebone Road,Urban Traffic,1,30,station_available_history
12,11065,4.581721154648526,6.657901910326769,42.079256757930935,0.3347039458314772,-0.1544118053197753,dlinear,MY1,London Marylebone Road,Urban Traffic,1,30,station_available_history
24,11065,4.910597109565678,7.190512884235039,44.170152985215466,0.22208214997218778,-0.27716173083061446,dlinear,MY1,London Marylebone Road,Urban Traffic,1,30,station_available_history
48,11065,5.258273335961373,7.636635294665696,47.28698713117791,0.12272198079378549,0.05982259148071106,dlinear,MY1,London Marylebone Road,Urban Traffic,1,30,station_available_history
1,11065,2.9864698661030875,4.129863707939814,31.230237321209223,0.7442257197637406,0.2923652961978102,lstm,MY1,London Marylebone Road,Urban Traffic,1,30,station_available_history
6,11065,4.1689252484264925,5.842557818704617,39.83468947230845,0.4882618127345225,0.30302089821468153,lstm,MY1,London Marylebone Road,Urban Traffic,1,30,station_available_history
12,11065,4.488635452287638,6.533145217331204,41.70900961035634,0.3594031686917878,-0.40540697519939733,lstm,MY1,London Marylebone Road,Urban Traffic,1,30,station_available_history
24,11065,4.836121410702453,7.106904562162052,43.78434780664844,0.2400675915299949,-0.17211613577790139,lstm,MY1,London Marylebone Road,Urban Traffic,1,30,station_available_history
48,11065,5.076224072764376,7.559187708862698,45.716113095348064,0.14042573038379647,-0.46857964909836225,lstm,MY1,London Marylebone Road,Urban Traffic,1,30,station_available_history
1,11065,4.838754400210956,7.420513890419059,44.215883360500065,0.1742408456182477,-1.279596942205317,timemixer,MY1,London Marylebone Road,Urban Traffic,1,30,station_available_history
