,,,,,MAE,MAE,RMSE,RMSE,sMAPE,sMAPE,R2,R2
,,,,,mean,std,mean,std,mean,std,mean,std
station_id,station_name,site_type,model,horizon,,,,,,,,
CHB,Chilbolton,Rural Background,lstm,24,3.4710964466688843,0.02862644969488897,5.458750442745939,0.040149326608937864,48.34092622111183,0.5117915853564686,0.25038149929739684,0.010998894063138401
CHB,Chilbolton,Rural Background,lstm,48,3.7141961324367316,0.06235939168039567,5.84357027169495,0.08237415115305123,51.25814360619406,0.8775865034184261,0.14167031217894305,0.024284602790494356
CHB,Chilbolton,Rural Background,persistence,1,0.9907997817944422,0.0,1.895163259922231,0.0,15.910315187788523,0.0,0.9096098876217141,0.0
CHB,Chilbolton,Rural Background,persistence,6,2.770272536642072,0.0,4.517525280503176,0.0,41.23521943237395,0.0,0.4864675658184835,0.0
CHB,Chilbolton,Rural Background,persistence,12,3.4857988012275323,0.0,5.625157847803367,0.0,49.70586331775645,0.0,0.20379581978609754,0.0
CHB,Chilbolton,Rural Background,persistence,24,4.018272809341258,0.0,6.488200953154697,0.0,55.10587081839317,0.0,-0.0589698764868376,0.0
CHB,Chilbolton,Rural Background,persistence,48,4.61992623744121,0.0,7.296147553439499,0.0,60.81388323936515,0.0,-0.33787572715326775,0.0
CHB,Chilbolton,Rural Background,seasonal_naive,1,4.018314010052365,0.0,6.489559613171364,0.0,55.0641820132616,0.0,-0.05988347713835873,0.0
CHB,Chilbolton,Rural Background,seasonal_naive,6,4.018799194970214,0.0,6.488535120891079,0.0,55.089152556537876,0.0,-0.059400112272633754,0.0
CHB,Chilbolton,Rural Background,seasonal_naive,12,4.018154835627857,0.0,6.4882791636781025,0.0,55.08285211670908,0.0,-0.05928806944842302,0.0
CHB,Chilbolton,Rural Background,seasonal_naive,24,4.018272809341258,0.0,6.488200953154697,0.0,55.10587081839317,0.0,-0.0589698764868376,0.0
CHB,Chilbolton,Rural Background,seasonal_naive,48,4.61992623744121,0.0,7.296147553439499,0.0,60.81388323936515,0.0,-0.33787572715326775,0.0
CHB,Chilbolton,Rural Background,timemixer,1,3.170792639551194,0.10145997805983512,4.964626579696145,0.08006199883474709,44.43305055717498,1.0248741889069615,0.3795722825792042,0.01981172035090358
CHB,Chilbolton,Rural Background,timemixer,6,3.449698223701467,0.1263546796739654,5.304879147681428,0.10489443395965911,47.37604288917369,1.2670887912075046,0.2916408580485525,0.028157829580122043
CHB,Chilbolton,Rural Background,timemixer,12,3.596956429193945,0.1309307272759122,5.573801696872012,0.10902736340132056,49.10391428284817,1.063456505863697,0.21802842166240924,0.0308746879347003
CHB,Chilbolton,Rural Background,timemixer,24,3.808371238376572,0.16837014924769533,5.89664910111841,0.17813384555556647,51.54120408979785,1.2795656990511488,0.1246886784550173,0.05356905545514466
CHB,Chilbolton,Rural Background,timemixer,48,3.87786941225544,0.1789917458770517,6.084369039943058,0.22022200801938588,52.50757879169281,1.431515735887217,0.0686464472615207,0.06834436191604376
CHB,Chilbolton,Rural Background,xgboost,1,0.9796906018760876,0.0011896745031323517,1.8168101555649216,0.0038108746799375075,16.138736164965742,0.037202756388335895,0.9169292185898656,0.00034849194032311016
CHB,Chilbolton,Rural Background,xgboost,6,2.6666734597672423,0.007231413780142355,4.142565922958523,0.018997255940045154,39.23015582608518,0.10611350852475944,0.5681699521221418,0.003953915503279664
CHB,Chilbolton,Rural Background,xgboost,12,3.2141874163327024,0.016123690640039327,4.9511821086093795,0.013175897342054457,45.19772316890715,0.22567360931870603,0.38315608188007405,0.003284181412384807
CHB,Chilbolton,Rural Background,xgboost,24,3.646839566779383,0.01407562344949904,5.535514166133128,0.013434515711716801,50.12000973730055,0.18558958683816246,0.22917995301574975,0.003742699164746089
CHB,Chilbolton,Rural Background,xgboost,48,4.109102451643097,0.02525375076686868,6.011630117031528,0.03303799646012544,55.05926399714716,0.23559053697908308,0.09171204680288281,0.009981584493906128
HP1,London Honor Oak Park,Urban Background,dlinear,1,0.8585108013099225,0.0378941246226827,1.3645454829468047,0.03210846916165295,14.594853998866459,1.011289633534194,0.9571571973155262,0.0020407647971192053
HP1,London Honor Oak Park,Urban Background,dlinear,6,2.553696185462039,0.016154580286318623,3.9900000847687807,0.014207972375237483,36.29053159145798,0.2633556730947559,0.631123009237067,0.002625939455270126
HP1,London Honor Oak Park,Urban Background,dlinear,12,3.1136470827649996,0.020460486426259847,4.914646259232984,0.014463136850717064,42.31626224597183,0.45670245216744315,0.43254454174120377,0.003337167001135147
HP1,London Honor Oak Park,Urban Background,dlinear,24,3.5053402282046093,0.032972004429920126,5.537961765701478,0.01495190527428314,46.5188135247381,0.6390770895242875,0.26326718708134633,0.003981104119117104
HP1,London Honor Oak Park,Urban Background,dlinear,48,3.7408020724765576,0.022527763196658782,5.96720261663453,0.03263332684582617,50.28870340031403,0.3929603685240026,0.12058139099496938,0.009626932653084853
HP1,London Honor Oak Park,Urban Background,hybrid,1,3.139417589085396,0.2869414576317149,4.333058680422406,0.29579392438696595,45.2484391162714,3.4363088337636003,0.5665742521737889,0.057974600036537795
HP1,London Honor Oak Park,Urban Background,hybrid,6,3.670378333814326,0.27551268226504727,5.352862134944148,0.2805316423865833,49.38710926705338,3.006450065876717,0.33464001515093367,0.07059622446857737
HP1,London Honor Oak Park,Urban Background,hybrid,12,4.1600943992146755,0.3109554100817441,6.155472794679025,0.32742216244398525,53.881111575782576,2.795621481855311,0.10782716844542224,0.09489400667769693
